time,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250218_1,20250218_2,20250218_3,20250218_4,20250218_5,20250218_6,20250219_1,20250219_2,20250219_3,20250219_4,20250219_5,20250219_6,20250219_7,20250219_8,20250219_9,20250219_10,mean,se
0.0012,0.5078445799649849,0.5086674344117126,0.5066644509396959,0.5003860976603239,0.37523551405428635,0.375548618581178,0.42442715815516946,0.4165965983065909,,0.5256444208945193,,0.4288860885526464,0.5238819295371987,0.5583892588241597,0.4418834522872577,0.5050513853091115,0.5382249508788199,,0.490788132044021,0.6124559459645027,0.4577027743560822,0.4913942597550509,0.48366700265670065,0.059818738212357364
0.0013,,,0.4742077982836407,,0.3550748837311998,0.37014212141218944,0.43479166720325446,0.5027269756222199,0.5286225208675841,0.48020706156731413,,,0.45604964034913875,0.5056612801031649,,0.51587998101452,0.5462653400642165,0.4804531868614069,0.39453904481166313,0.6156204200687566,0.5018967933643302,0.5098626946722994,0.47950008812480616,0.06452112463475979
0.0014,0.4318256411622115,0.4396127562551712,0.49550364301580113,,0.3753922811956396,,0.48549528746127,0.3619591245351952,0.4985023503624923,,,0.4069464282365374,0.43152880266200694,0.49197395530418375,0.5054796601633119,0.41447937685984876,0.49921964785078776,0.44438745050757256,0.4038646498402616,0.5574877318352677,0.45358457050193024,,0.4527790210440876,0.05073154045777395
0.0015,0.509579411132405,0.4765059958795463,0.39147796958411657,0.43988285193288224,0.34879018848657445,,0.441172864257405,0.46400298783433624,,0.42224890490046224,,0.38898050658721367,0.44571765484401643,,0.44466538857680576,0.375450237575418,0.46089643627941157,0.4115115624009278,0.37904060152076857,0.5193647540958982,,0.4244763919853822,0.4319861592866806,0.04535910992137478
0.0016,,,,,,,,,0.4691203854745298,,0.4772527335342982,,0.5131137143047426,,0.4513880117507791,0.4329174459973046,0.42674056062132915,0.5085459160573651,,0.4967663067980161,0.4258936643027756,0.44303125598854176,0.46447699948296817,0.03174104396405421
0.0017,,,,,,,0.4004783135921025,0.4247844336732286,0.42125092053141655,0.3615529662517998,0.4173663490741652,0.3868861688487343,0.4743173794951115,0.4330554913114423,0.42523943454502977,0.41598983538616885,0.4535776946853524,,0.40405879110009163,,0.41432615863670347,0.38885448044877036,0.41583845839857975,0.027032768187510717
0.0018,,,,,,,,0.36971720269725034,0.43736461996009673,0.42213900708326885,,0.3610840470171755,0.3910911545811331,0.3987294459350799,0.3699729629517526,0.37172874565217967,,0.4487798899933668,0.3858965954657316,0.39419325874157674,0.4452562823308846,0.40302400279543804,0.3999213242465335,0.0287815584990981
0.0019,,,,,,,0.4204435113659024,0.40095771523913065,,0.3878171894496262,0.39768075932660263,,0.43942437494497116,0.4216536163855144,,0.4213114776674139,0.3668466253443024,0.4116217373683311,0.3901733594546661,0.4658448899848993,0.3712882944939542,0.3884267338710671,0.406422329607414,0.026513302138566095
0.002,,,,,,,,,0.4008759323094502,0.38636865065490295,0.4010132936355728,0.4244177521316494,0.3465189121293962,0.39965073568281945,0.38769277919832956,0.40327574376704106,,0.3682992212498922,0.38773772729631406,0.4453009691441341,0.34992653698525356,0.38853083173251535,0.39150839122440545,0.02589231966150335
0.0021,,,,,,,0.371015601967906,0.3637583236088218,0.40565390433035614,,,0.34108540280962146,,0.45279982891758813,0.3876281930829054,,0.4143484942549933,0.441490150766529,0.3536288551480687,0.41366543444099657,0.3985691263423456,0.3498898824142677,0.39112776650703335,0.03467725768030812
0.0022,,,,,,,0.31960311392360213,0.3403400047742775,0.38732251247925054,0.3550763837983065,0.35202344585299067,,0.3411419787781826,0.47013559071445393,0.3914912680863101,0.32874784083457603,0.38719334714714854,,0.3375397779050395,,0.3539057411418648,0.3544672789637061,0.3629990987999776,0.03772516261274416
0.0023,,,,,,,0.34025786920121726,0.33705138769177184,0.39609840129356455,0.38107564763335694,0.3738848749845872,,0.3396041548142539,0.4606301111081358,0.41917276194892683,0.3173658105818881,0.3533544020981731,0.41026593819953966,0.3459433633483849,0.4234405216167354,0.3502035733758555,0.3247971203088947,0.371543062547019,0.040700248209299524
0.0024,,,,,,,0.33316992322706246,,0.3578120687949917,0.33914807241084505,0.3199329989301004,0.31489509429656654,0.3965052954123646,0.39597284851898173,0.34434834873874726,,0.33547767252358063,0.3894061956598671,0.34112228674808315,0.4198863786344765,0.34573516122328396,0.31385659842529373,0.3533763531103032,0.032511770729021956
0.0025,,,,,,,0.28119011603679034,,,,0.3535076029951101,,0.37816104019199004,0.361922913780601,0.4066357788668461,0.3108962852944732,0.3194450041293841,0.31066224757942684,0.33708488206835613,,0.33717716609967474,0.33809981308996345,0.33952571364841966,0.033256720887241686
0.0026,,,,,,,0.30706776827555143,0.31850911347602695,0.3513170289062169,0.3628733893358054,0.28925805749801614,0.31474074548482694,0.33532886239526966,0.3981906885098863,0.3295204626678055,,0.35003806002916926,0.3157530939661527,0.2857483250663905,0.4346303369906478,0.3370819180889414,0.3023688787799553,0.3354951152980441,0.03884606801723859
0.0027,,,,,,,,0.29698860368863633,,0.3433823624889591,,0.30057696779483895,,0.39267898482214286,0.3587591756321735,0.3171819245857203,0.36710852319181936,0.2990711140552897,0.3130432689022474,0.415211928706659,0.28560502612927136,0.33083965824790973,0.3350372948538056,0.03937424261216049
0.0028,,,,,,,0.3226464295340458,0.35429921231251876,,,0.3349825439012385,0.2882842554981826,,0.36434353143034154,0.35026759204807933,0.3134871762457337,0.36029026836602607,0.3010651461947679,,0.33466832784527434,0.3157841959781382,0.27310636599406757,0.3261020871123679,0.02784727989509647
0.0029,,,,,,,0.3287964299453856,0.2616418361938106,0.33848011291932456,0.2513081578332568,0.30260171912103384,0.24556119242378133,0.28007670720279954,,0.3239779363266437,0.3098259795630245,0.34399210919883605,,0.3202492385701147,,0.2979274240162195,0.26230956413160345,0.2974421851881411,0.032671005436648685
0.003,,,,,,,0.3171098726251062,0.32783164820080535,,0.31291449731550675,0.3323791121701549,0.2650306004134121,,0.3231841537197039,0.33944311202237504,0.28628474103542134,,0.2932087027591842,0.30292221634911676,0.36328583047658924,0.2893077792875752,0.3347954758353206,0.3144382878623286,0.025512505122639438
