time,20250220_1,20250220_2,20250220_3,20250220_4,20250220_5,20250220_6,20250220_7,20250220_8,20250220_9,20250220_10,20250220_11,20250221_1,20250221_2,20250221_3,20250221_4,20250221_5,20250221_6,mean,se
0.0,,,0.9930245997301999,0.9982414599491034,,1.032388856094938,0.9324666618667736,,,1.0341014334559004,0.9254788400251629,0.9166451181295583,1.0228821916586486,0.9228016407652783,0.9259204231311798,0.9818844807479581,1.11198716335767,0.9831519057426976,0.05828082039866722
4e-05,0.9343199917108596,0.9581631430233555,0.8764425723848466,0.986637377766679,0.99832561401921,0.9799932237486996,0.9784883121766949,0.9839523004318688,,0.9457707353446673,1.0173824182029891,0.8924687897390698,0.944882858217561,1.0084052208144894,0.9927048782446418,0.9155267779257432,0.9802494539579436,0.9621071042318324,0.03964852841456794
8e-05,0.9663008219718321,,1.0405023583492352,1.0291957095704467,1.0125953583608378,0.9512133553848231,0.8915982349625603,0.9372083452796288,,0.9578056698889716,0.9724407228940466,,1.0063926595097,0.983164026199528,1.0884007789131451,0.9922202940669501,,0.986849102719362,0.04831952384780613
0.00012,0.9290741879724904,0.9531058145536261,1.0012668081953087,0.9348506720029373,0.8315381314383703,0.9085230768000561,1.052974312174953,1.042223230649461,,,1.0130850979590955,1.0432840553949685,1.0350706653876107,,0.9477972857804234,,0.9708979486033775,0.974130098993283,0.0626090084689741
0.00016,0.9651266416858558,,0.8657037145792159,0.8488404962510075,0.9986438205673194,1.0019146335992297,0.9907759349932906,0.9232738966591281,0.9333310282613226,0.8105967049459704,0.994998891987261,1.0722769118511069,0.9631858846304197,,1.0365252502358222,0.9100454668904114,1.0380536653149113,0.9568861961634849,0.072107751137014
0.0002,1.0553205131865235,1.004115380130625,0.9880388043450187,0.9245757978056226,,1.0320515648549173,0.9566126577960309,,1.0135006581045352,,0.930206112332084,1.0568226707818442,0.9490879517424702,0.9897208295432491,,0.9694028944265398,0.9957586227048951,0.9896318813657197,0.04146880976729336
0.00024,1.04058370801144,,0.9982882581745451,0.935060479858238,1.0377879762511029,1.0060593548400392,0.9182104972028705,0.9814393774861002,,,1.0757794651703578,1.0415172721178858,0.9531286908372802,0.9427606442671865,,0.9252659580109684,0.9193793201945467,0.9827123848017355,0.05226038323442298
0.00028,0.9295406443199778,0.8629175971325443,0.9823987401501245,0.9845470701797409,0.9994742871368731,0.9684373816540939,1.000286620356613,,0.9291802546889415,,0.8758099238264252,0.852974640827861,,0.9598572391575002,0.9293690699964041,1.0301002047962393,,0.9465302826325647,0.053848349324900395
0.00032,0.9905892042869667,,1.0495343034976414,0.9273419300846278,,0.9994670485315796,0.9119673945562436,,1.1430869245550073,,0.8639040429448328,1.0343569204876717,0.8851819581076567,0.8607843061589014,1.0370301992578037,1.0903618078922372,0.9248210388115028,0.978340544551744,0.08655885004816605
0.0003599999999999,0.9313466728514581,,0.9912410612175638,1.0322663362855125,0.9251979740836701,0.9112040215704685,0.9151424875613671,0.9698163261008269,,0.909063087600523,0.9778551928098224,,,0.9465858261436284,,0.9479742787042023,0.9776332024157514,0.952943872278733,0.036138187530987374
0.0004,0.8727309134475629,0.9186896362089747,0.850467769132725,0.8171306264060263,0.904795398005743,0.9420748269833847,0.9183105509508859,,0.968412491089964,,,,1.0032975440079037,0.9274795985166145,0.978562152618833,1.0066079380394588,0.8734067291352581,0.9216897057341027,0.05600599321696834
0.00044,0.8973067687685228,0.9283333816930704,0.8734809687985147,0.7633350899279521,0.939713527233331,0.9602689716249195,0.8667153134057213,,0.9425869015598679,0.8952910864186084,,0.9812084037247106,0.979701332929051,0.9354233565293716,0.9342450924540214,0.9671915667413931,0.9851574726502029,0.9233306156306172,0.05616652474428485
