time,20250123_1,20250123_2,20250123_3,20250123_4,20250123_5,20250123_6,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250124_7,20250124_8,20250124_9,20250221_1,20250221_2,20250221_3,20250221_4,20250221_5,20250221_6,20250221_7,20250221_8,mean,se
0.0,1.0,,1.0,0.9761343548906334,0.958125337662414,,0.9848906101653884,,1.0,1.0,0.9481666425185816,0.9721330269982676,1.0,1.0,,,1.0,1.0,0.9598466971761664,1.0,0.9848424775297908,,1.0,0.9873023027612495,0.017347177449477114
0.0002,0.9740790204060013,,0.9695998804068456,0.9083236850031848,0.937137634360883,0.9137524112120832,,,0.9163632323068954,0.9297288913860284,,,0.9535498494590549,,,,0.9469529770103988,0.9950829301862524,,0.8819467520420875,0.9117765516623844,,0.8716333299381652,0.9315328573369435,0.034615532475299075
0.0004,0.9506678837024832,,0.9262465553229524,,0.8911029268772047,,0.9145786327407632,,0.870569904974066,0.9665246288091652,0.9637644554013668,0.9239478409787668,0.8849919961757873,0.8683333669257581,0.881458481140102,,0.9604158042048409,0.876262413671986,0.8688573621003005,,,0.9209659373986944,0.9111366640065572,0.9112390534019247,0.03425694898689259
0.0006,,,,,,0.8597816336997431,0.9372877473392238,,0.9236454919864484,0.8375760520264665,,0.9005011367594632,0.8370177831216592,0.8344350851932364,,,0.8609833343103338,0.8004084240096918,0.8456865421172942,0.899338319383346,0.9142964712618667,0.905407533402158,0.8699633371924486,0.8733092065573844,0.03898987550858441
0.0008,,,0.883597856923277,0.8074103684353547,,,0.9436109659101772,,0.8934609779062445,0.7977818156161713,0.875457302242203,0.8748238191332929,0.848707719683818,0.8551346440337152,0.8249044136855703,,0.8084540349806896,0.8354829796767105,0.8382401876494174,0.838685089835684,,0.8856056729219424,0.8459793734983874,0.853583576383291,0.03667850937863238
0.001,,,0.8859263968683059,,0.8963088822419495,0.7617466439376264,0.9255799040889864,0.831216347902059,0.8428865413041932,,,0.9042462052809704,0.8406441077621984,0.8953641091943728,,,0.7954728285584377,0.8460145205846914,0.8092047740187702,,,,0.8344402536132569,0.8514655011812168,0.0458217623299756
0.0012,0.7436791214271261,,0.7825822141601241,0.8221456139115136,0.8683811020252834,,,0.8318882878707643,0.7972456212551697,0.8213687271320287,0.7653524547142897,0.7880411470547317,,0.7912789467637475,0.785147828973528,,0.8219564576905354,0.8366822951915314,0.8728882331458789,0.9046743035560768,0.907832158455784,0.8075569451452649,0.8937366682288597,0.824579895927902,0.04681906610857369
0.0014,0.7980733160193203,,0.821013112381691,,0.7808061393199778,0.8046018651117957,0.8045523564672747,0.7397824864350472,0.8499426870704208,,0.8182555883938052,0.839578660868968,0.7982123863540421,0.7804128757953741,0.7644693604067233,,0.838842633014723,0.8177946851036745,,0.829297416738813,,0.8428599587205413,0.8218063555092907,0.808841287277146,0.028893693837122345
0.0016,0.7569490532730375,,0.7898899973481142,0.7615769857409194,0.8160117211491617,0.7688594334661129,,0.7495856128545196,0.8162526289000301,0.7486412719738939,,0.8021253977440451,0.7579541223074887,0.7876726555815677,0.751283304699715,,0.7568557740679411,0.7679639622127695,0.7937059703362114,0.7639323402727966,0.8200739316764477,0.8316369557956682,,0.7800539510778022,0.026739524952647118
0.0018,0.788776353844972,,0.7396141835221176,0.746337811915818,0.7975092350077221,0.8374759639051602,0.7537197838158445,0.7239820471311829,0.7431296457598136,0.7277370733084905,0.7562441507000105,,0.7834960404605782,0.7008997513772119,,,0.7403079548168608,0.7878141446326405,0.6815666819191849,0.8084405270233511,,0.8416618668202451,,0.7622772479977179,0.043251117906330225
