time,20250124_1,20250124_2,20250124_3,20250124_4,20250124_5,20250124_6,20250218_1,20250218_2,20250218_3,20250218_4,20250218_5,20250218_6,20250218_7,20250218_8,20250218_9,20250218_10,20250218_11,20250219_1,20250219_2,20250219_3,20250219_4,20250219_5,20250219_6,20250219_7,20250219_8,20250219_9,20250219_10,20250219_11,20250219_12,20250219_13,mean,se
0.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.9708966674210002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9380176942465082,1.0,1.0,1.0,1.0,0.9964967062179811,0.012964018909335436
0.0001,0.8638460700176822,0.9207696967324902,0.8324879628615413,,0.9490582118325238,,,0.8378008803882824,0.7753295091123178,0.7555417556196116,0.7366329295846133,0.903453405394755,0.9112693370467958,,1.0,,0.8993622237521388,0.9740386912922905,0.9288813792531969,0.9415603132305425,0.985493853313385,0.8773603922822218,0.8780062570131332,0.8669746686802716,,1.0,0.8826239404037574,0.873747553700298,0.9481656238880133,0.8652303948948689,0.8919847937622806,0.06959054137628677
0.0002,0.9114921284470114,0.7213705802682282,0.6291840473114941,1.0,1.0,0.6880576703544597,0.8287984584165031,1.0,0.7665749016591593,0.6669009136776431,0.7873275948914873,0.8092097458468407,0.8765719542319453,,0.9677982397726835,0.8243113325265794,0.7979772481698663,0.8923947258899422,0.9429180227361975,0.9394105868096154,0.9910269948737744,0.8114478550843028,0.7978352497518895,0.8264458648528492,0.9125212342983785,0.9369785756018831,0.8077502236356976,0.7726731834593041,0.8635133527332608,0.8884025880232088,0.8503066645973864,0.10021636043676639
0.0003,,0.6601086615354641,0.7042132990313593,0.8331674886710057,,0.7679904848827508,0.7743415909139846,0.728167465123027,0.6610387135521295,0.7215974974516541,0.6719676522200461,0.729423646663752,0.7738599526119373,,0.7648388440195896,,0.7098088295924777,,0.7191487013586347,0.8476890618010047,0.8722596212041753,0.7403824424397791,0.7917941628174933,0.7705181401458693,0.8375245936310628,0.8631239548208129,0.7830207079128393,0.7387536206788045,0.8109795140212082,0.7803179919225266,0.7622414655609355,0.05878536950326542
0.0004,,0.7164315654878329,0.6046669311615972,,,0.8267312649537023,0.752041938615235,0.6801371537290457,0.5968189950299785,0.6444557291427436,0.6560825970422957,0.658563496825203,0.7392043480684036,,0.8390710996410912,,0.6773177914224827,,0.8437938105936733,0.795207285070843,0.8279045693227013,0.7675527320240537,,0.7347374745927061,0.7466252676868569,0.8373607418716758,0.7997530935271027,0.726247274712037,0.9162585379420977,0.7028408617599805,0.7430349808792758,0.08209839410655781
0.0005,0.6436073793103593,,,0.7323646860305318,0.7067323787374753,0.6317251120693894,,0.7218120048306682,0.6542286262650344,0.6339247543177413,0.6486975303966065,0.6536948348564176,0.702812790204215,1.0,0.6864796587316337,0.7187067584721488,0.7173360846009834,,0.6853910663156126,,0.8649870846929264,0.7661032005544991,0.8038446315275967,0.725138769316519,,0.8617001531339469,0.7298323955934943,0.6313348634934809,0.847935733001036,0.6776138518727683,0.7269168478468785,0.08931624562453654
0.0006,,0.553855057505769,0.613831835831425,,0.7179156426601068,0.7876324364402388,0.6298764070220111,0.6932866218770866,0.5456369440525849,0.6416359689721765,0.7491966348971828,0.6668425711971223,0.6769192329343356,,0.8211591552564887,0.6939163536442639,0.6582098950892843,0.7955820545496892,0.6774026991418134,0.8024787079595032,0.8396099661944948,0.846974246108525,0.6591067590310039,,0.9114905617235622,,,0.6536777893365207,0.8473047711142212,,0.7166757527191048,0.0965909680293253
0.0007,0.5154917194509663,,0.5220251815391005,0.6425547217055013,0.5957441295388586,0.6020402932423853,0.5720662922865815,0.5728993298662031,0.5659024567585943,0.47245442580442304,0.5494521261934497,0.6058142070993787,0.6801756253928415,,0.6067556231578762,0.5497069286636379,0.6172916902090104,0.6068578191340392,0.7131552857843765,,0.7801258884224226,0.6626964843781191,0.6851063645856721,,,0.7223337147762822,,0.5946001814764106,0.7378844585654195,0.7242853206506528,0.620725844528425,0.07678591590486787
0.0008,0.4913273456228078,0.49368348990005084,0.5290284107979492,0.5656553526097352,,0.5624700911983764,0.5567517878948924,0.6283759314025625,0.6690658770015261,0.4707606755480216,0.5765729296826025,0.5627397644761323,,,0.7161583118567477,0.6579846392441143,0.5452672181452417,0.6869186816665536,0.5738149751024334,0.6478048685145399,,0.5792362153744377,0.5949967577659979,0.6527188683687517,0.6460812849049848,0.6721722744509895,,0.5699377070279289,0.716966314948239,,0.598603740562734,0.06840623781977141
0.0009,0.4313822856317587,0.5223944838678393,0.43906301477679427,0.5664428474652459,,0.45975242229348723,,,0.595026050377387,0.5421663365266817,0.4500131903194301,0.6333434622324964,0.6064382249458665,,0.5498019561743148,0.527318168445849,0.5634942407936177,0.49057033159582414,0.7245127888188188,0.57695100404258,0.5828048680411352,0.6369492181041806,0.5892335424226302,,0.7589406462290155,0.590253401981154,,0.4626694381626229,,,0.5590691783294878,0.08378829439955231
