time,20240927_1,20240927_2,20240927_3,20241212_1,20241212_2,20241212_3,20241212_4,20241212_5,20241213_1,20241213_2,20241213_3,20241213_4,20241213_5,mean,se
0.0,,0.0597898574414035,0.0535859511934299,0.0406249681741911,0.0575236642557043,0.0458090203704331,0.0457537000276682,,0.0507375608184227,0.0589603054197613,0.044316064199377,0.0590058134487792,0.0368855419821215,0.05027204066648106,0.007711916911419403
4e-05,0.0469695034732149,0.0479613138225497,0.0523424557344281,0.0463760147297745,0.0469497208090697,0.0641089034241992,0.0618640184385812,0.0535247598635085,0.0603504774144703,0.0612311893859588,,0.0466192821237041,,0.05348160356540537,0.006774744524231896
8e-05,0.0417535024499735,0.0465917347340053,0.0430655801507127,0.0474567107987704,0.0498550201746188,,0.0533975557343296,0.0599830143235082,0.0420926550138507,0.050385494759121,0.0358664792389153,0.0535054250252554,,0.04763210658209644,0.006455747859650498
0.00012,0.0217890140076014,0.0278451550189167,0.0348453113585826,0.0218114271723424,0.0130804523079881,0.0203713029855486,0.0295289544276891,,0.0187545356534177,0.0174767754262907,0.0128598520298611,0.0211550638442813,0.0118076150485212,0.020943788273420073,0.006732326303730174
0.00016,0.0195091291106115,0.011762835105781,0.0203312402000041,0.0028656557995956,-0.0017573057263854,0.0158511700605885,0.0166519119590791,,-0.0023342041749265,-0.0021715612273828,-0.0013343119376307,0.0016742488938073,0.0005422329233931,0.0067992534155445665,0.008815039916001707
0.0002,0.0122038070769114,0.0173657789977213,0.0114031261955623,0.0075644766007973,0.0144995597412402,0.0144517016043873,0.0126608008861293,,-0.0047070127496007,0.0002294028573371,-0.0026690887185658,0.0075492106570499,-0.0022641997946002,0.0073572969461974495,0.007410761111146958
0.00024,0.0387243611058865,0.033097450517482,0.0380554729785935,0.0372144427675403,0.0296007642373579,,0.04802564566146,0.0471371816000948,0.0332096796102017,0.0256923902731917,0.0200818530752387,0.0267590357293171,,0.03432711614148765,0.008274723544587793
0.00028,,0.1367706356251907,0.1133231318963822,0.1196135528324997,0.1181063019321264,0.1306073280407624,0.1343496049308984,0.130034669359376,0.1277424213643461,0.1315538744695315,0.1185408052124604,0.1210059717698816,,0.12560439067576867,0.007384064961291208
0.00032,0.2042355719365009,0.2214923847617723,0.2211507884284324,0.2231934518981187,0.2146853468834907,,0.1929464006009425,0.2209288064637817,,,0.2020929076944506,0.2103519636435849,0.1899747401300361,0.2101052362441111,0.011659646675196455
0.0003599999999999,0.2365035237886608,0.269029017739823,0.2787044624547945,0.2497579714739716,0.257233387229644,0.2540121104201356,0.2149754495832269,0.3077245476248595,0.3101244139417176,,0.2436531485116137,,0.2601294689674856,0.2619861365214484,0.02725805342465706
0.0004,,0.3033362011421912,0.3306024173390255,0.3291617533880031,0.3116502226395297,0.3034047717890147,,0.3486798423005161,0.3450025483306403,0.3511384203974446,0.3275031946702384,0.3209723715978343,0.3359959604144056,0.3279497912735312,0.016108543037471237
0.00044,0.1976063728990205,0.19581375473765,0.1885399398809557,0.2334152169932004,0.2051077503642389,,0.2085646611103041,0.209963523673363,0.2281166745103687,0.2378541635225953,0.2219413623123897,0.2122252541239834,0.2095339707841318,0.2123902204093501,0.014642772107424326
0.00048,0.0754236797840254,0.0757495610104467,0.0940932212076113,0.0677374774208137,0.0808979516762927,0.0888583505835245,0.1035590359349013,,0.0961775111686491,0.0913247685759036,0.0839614793545207,0.0756226847438552,0.0689459210036404,0.08352930353868206,0.010877497675123304
0.00052,0.0105581099509567,0.0254781718292327,0.0147522028895935,0.0108580912505856,0.0158103892142064,0.027917812776501,,0.0289671344982296,0.0076653874156319,-0.0023544577911556,0.0003881075691314,0.00593020270695,0.0083166536707335,0.01285731716504973,0.00978801630824093
0.00056,0.029233889261607,0.0309594376864524,0.0251272016223225,,0.0146797241870457,0.0199476258280077,0.0337215611751378,0.0292745738942438,0.0097724286414272,0.0110321686996986,0.0129337395292797,0.0176107536054545,0.0126527863806184,0.020578824209274604,0.008291039688737433
0.0006,0.0271421107370335,0.034980630468781,0.0275869606600345,0.0275420956083804,0.0259459895656763,0.0352645693275057,,,0.0285293785401538,0.0202901101377706,0.0185990014309753,0.0252247162427957,0.0232858926668537,0.026762859580541868,0.004936221638851682
0.00064,0.075380476039564,0.0829219022419322,0.0742081826593223,0.0860992077714954,0.0697852006820735,,0.0853128742549745,,0.0908519407758985,0.0860571208476781,0.0794095948140482,0.0700224803777272,0.0743664362874119,0.07949231061382962,0.006851982924412596
0.00068,0.1983634739241392,0.1875263580706918,,0.1933234599576794,0.1980970456422077,0.1811349810857762,,0.1954505897125676,0.2075207851053059,,0.2003802404178235,0.1946602753003433,0.1948887460119282,0.19513459552284626,0.006765177135232332
0.0007199999999999,0.2453018123441419,0.2661973263860861,0.2665311928780038,0.2709806391465943,0.2743829300005631,0.2550561557151751,0.2480030706661924,0.2929915414923432,,0.2764549536771536,,0.2437722533964924,0.2508105536915394,0.26277112994493507,0.01481839550045547
0.00076,0.2439894346851067,0.259199637339057,0.2436420703837627,0.2565528445357874,0.2361591508851558,,0.2481988742644496,0.2441750283120637,,0.2577688388960193,0.2822925022415445,0.2252706587032863,0.2509549588770353,0.24983672719302435,0.01397460783162403
0.0008,0.2137555123562095,0.2305520563481253,,0.2308414088119759,0.2313188863693507,0.2139431652842098,0.2155278409949754,0.262575752155369,,0.2490891832417045,0.2208844870956311,0.2454581992654733,0.2010827215054149,0.2286390194025854,0.017313578468587956
