k,20241220,20250102,20250103,mean,se
-1.8858324392958183,0.2178267677750513,0.2500848836023451,0.282578017247284,0.2501632228748935,0.026434644942260218
-1.818481280749539,0.2091829113508191,0.2624367038940259,0.2820834824942372,0.2512343659130274,0.030797647101031733
-1.7511301222032598,0.2055254314475298,0.2386066914615999,0.28593943275131,0.2433571852201466,0.033000285803142015
-1.6837789636569804,0.204898608053411,0.2582589951739502,0.271218917499708,0.24479217357568972,0.02870089806066096
-1.6164278051107015,0.2278551155154982,0.2367285739038001,,0.23229184470964914,0.004436729194150946
-1.549076646564422,0.2185721012140076,0.2652693983712743,0.3046959896691307,0.26284582975147086,0.035201669508692274
-1.481725488018143,0.2225114095771133,0.2597091230623444,0.3185214585207855,0.2669139970534144,0.039525645948438604
-1.4143743294718636,0.2311380231084273,0.2634808039943079,0.3161139195773221,0.27024424889335247,0.03501936497948805
-1.3470231709255844,0.2340518062829394,0.2747320653594726,0.2981896439247841,0.268991171855732,0.026496967725998077
-1.2796720123793053,,0.293026929276697,0.302517701554308,0.29777231541550253,0.004745386138805513
-1.212320853833026,0.2311676034356719,0.280172983134529,0.3099199778933221,0.273753521487841,0.032469382876328924
-1.1449696952867467,0.2470895651454136,0.3046154169832594,0.3478911893041253,0.29986539047759947,0.04128893251313962
-1.0776185367404676,0.2455073392573308,0.3248771384033238,0.3448607240544498,0.3050817339050348,0.042908175577615816
-1.0102673781941884,0.26608334237227,0.3336922999202539,0.3486831354311541,0.3161529259078926,0.035929594894290505
-0.9429162196479092,0.2635879688228108,0.3265771897725029,0.3495010469829013,0.31322206852607165,0.036322937632352115
-0.8755650611016299,,0.3468443981349354,0.3555435789942541,0.3511939885645947,0.00434959042965935
-0.8082139025553507,,0.3578417559416355,0.358013530901352,0.35792764342149375,8.588747985827094e-05
-0.7408627440090715,,0.3540974804312911,0.3604463402717569,0.357271910351524,0.003174429920232924
-0.6735115854627922,0.2954748380534814,0.3596881414421611,0.3809500965651597,0.3453710253536007,0.03633400440569453
-0.6061604269165131,0.2922000648571901,0.3597098188367213,0.3797082555391944,0.34387271307770195,0.0374391176732419
-0.5388092683702338,,0.3662099261515905,0.3729636715562832,0.36958679885393686,0.0033768727023463507
-0.4714581098239546,,0.3730590588887321,0.3827077230852981,0.37788339098701507,0.004824332098283007
-0.4041069512776754,0.306495367389509,0.3598105984071675,0.3937537002450803,0.3533532220139189,0.03591450445708048
