time,20240927_1,20240927_2,20240927_3,20241122_1,20241122_2,20241122_3,20241122_4,20241122_5,20241213_1,20241213_2,20241213_3,20241213_4,20241213_5,mean,se
0.0,0.0473949959210732,,0.0291810237685322,0.0485291602346698,,0.0391563391852445,0.0421536302589309,0.0450379542093796,0.0411497132277854,0.0357626239670534,0.0371293269624584,0.0389506587145195,0.0386760133302709,0.0402837672527198,0.005263078173293036
4e-05,0.0876439790350413,,0.071472336965063,,,0.0811973949360609,0.087608903765323,0.0763341990097354,0.0854533943666851,0.0832737466796586,0.0791905293573161,0.0776423115847889,0.0825823780138903,0.08123991737135625,0.004918173548413351
8e-05,0.1830306314846735,0.1941396855252395,0.1714911545381652,0.1850518954962367,0.189634788975675,0.1725975467924612,0.1770832128286857,0.1821742529788655,,0.1733494903001045,0.1814105961356723,0.1884293408426227,,0.18167205417258198,0.007099407527855163
0.00012,0.2744876036225976,0.2730271436660454,0.2684693113792322,,0.2771656214474537,0.2938041548734073,0.2730906310601896,0.3048621194783241,,0.2626597599215129,0.2478861762701942,0.278394800265913,,0.275384732198487,0.014825545773804742
0.00016,0.3172259466364956,0.2559653430145712,0.2821309542395491,0.3312785741761285,0.3031059984626974,,0.2976007691871777,,0.2839230679135951,0.2795909594729664,0.2610544712480135,0.3035067300385969,0.256626122010979,0.2883644487637064,0.02363536361733912
0.0002,0.3075189188064159,0.2642327838553084,0.2929507888871463,,0.2980012299202539,0.3612282991856004,0.3258311826119068,0.3874747490746418,0.2639596135541925,0.2849008506322611,0.2829656834170178,0.3566139089350011,0.2628552370721722,0.3073777704959932,0.040006512519916375
0.00024,0.2843730208630253,0.2245769588809758,0.2321150066351036,0.2664588059723613,0.2495592585375067,,0.251829464638009,,0.2243929399709076,0.226397438436061,0.2303746089871013,0.2454151578459088,0.2134525778811303,0.24081320351346278,0.02010984783922751
0.00028,0.1658663023052568,0.1331125882786442,,0.1793042947825008,0.1370323521922081,,0.1720609977783045,0.1817454593367402,0.144181942161901,0.150796577830883,0.1405863867489439,0.1452571616437562,0.1549379199811796,0.15498927118548347,0.01638858953897584
0.00032,0.0561898313993476,,,,0.0680983792177588,0.0868945619252671,0.0841422231169141,0.0950103704374916,0.0539755742727159,0.0706683632090014,0.0568206202726546,0.0593446451550861,0.0600803744038484,0.06912249434100856,0.013929984283634012
0.0003599999999999,0.0262503413984758,0.0278417729968073,0.024829035820778,0.0514769818300097,,0.0552211387629819,0.0519819283720896,0.0672837341802436,0.0476090624126447,0.0403446850039876,0.0635629543271297,0.0510803266906005,0.037200606293813,0.04539021400746344,0.013581830695389761
0.0004,0.0379525207973867,0.0286381675671276,0.0315543971942487,0.048306201407523,0.0374720502584095,,0.0564632669001806,0.0420105904881668,0.0589178092859546,0.0434481096346574,0.0477002180661168,0.0529864419732755,0.0393929824515701,0.04373689633538477,0.009062682173786812
0.00044,0.1096898307846103,0.1054445157835259,0.1121870183650283,0.1219394997955835,0.1102048823088994,0.123561725388795,0.124457701007951,0.1040473098821409,0.1351758537802536,0.1140256473950352,0.1217180561959815,,0.1113146161608313,0.11614722140405298,0.008813890040411481
0.00048,0.2618983865700762,0.2049806095781873,0.2277898079479858,0.2721010215107834,,0.275589923263433,0.2157022158615874,0.2331378395201591,0.2569641934124162,0.2232677808609594,0.2449683517119376,0.2374164142283334,,0.24125604949689625,0.02209757657661778
0.00052,0.2660625086297502,0.2653544455073647,0.2758794822093151,0.3501827332854461,0.3277218436168334,0.3554803499225564,0.2838145363574342,0.3558806601057391,0.3365877815267281,0.2725331251439399,0.298453744130709,0.3349487684101172,0.2812542054382646,0.30801186032955363,0.034548961291133246
0.00056,0.2775838801973007,,0.2517149227700533,0.3520640347323176,0.3338800360658447,0.3582196681017247,0.270512260307423,0.3189567309896374,0.3317243511435717,0.3047841554537309,0.2629838799286056,0.3296679234535496,0.2931659913357055,0.30710481953995544,0.034194942894331094
0.0006,0.2925426509363148,,0.2609692591317012,,0.3208520624444697,0.3429143829269644,0.2856794446751352,0.3132580652963013,0.269468392837498,0.2988868766997458,0.257646912204073,0.2857907786096559,0.3025469349141675,0.29368688733418424,0.024741389368238713
0.00064,0.1857536502742438,,0.1770200681736534,0.2522166124223462,0.212168562524044,,0.20628523434556,0.249211072989615,0.2118803152238761,0.241004380895025,0.1975178599727861,0.2296916530153536,0.2269727309183266,0.21724746734134817,0.023803124998204594
0.00068,0.1022860197724221,,0.0847363590230445,0.1383589956620531,0.1028908304416131,0.1278486922292317,,0.1208799312427264,0.0997060486208646,0.1248473663977957,0.0940468116728257,0.1252334167762518,0.0963806874854069,0.11065592357493052,0.016468158532520986
0.0007199999999999,0.0229076931717919,,,0.0578785714651255,0.0671992170239438,0.0593253348686269,0.0537684811371112,0.0577938848511039,0.0469708692526863,0.0558592440837077,0.052966417058225,0.0479300571622059,0.0329457095136609,0.05050413450801719,0.01205453452819919
0.00076,0.0646704066577449,,0.0602721756088359,,0.0795223167743554,0.0700599486100044,0.0607112278435833,0.0656729036417797,0.0778671998560727,0.080839105967963,0.0450109428028124,0.0700057495114672,0.0431675459050535,0.06525450210724294,0.012040891308975746
0.0008,0.0546203029873946,,0.05456621927355,0.0641611067948826,0.0717187724016871,0.075741763434673,0.0574922216482943,0.0767075935730886,0.0778928096091109,0.078574757419386,0.0581803019015579,0.0702700952984529,0.055207639654866,0.06626113199974532,0.009455391490017914
