time,20250221_1,20250221_2,20250221_3,20250221_4,20250221_5,20250221_6,mean,se
0.0,0.8523982381110243,0.866421983367539,,0.956118892587558,,,0.8916463713553737,0.04594704091509949
4e-05,,1.0394547109759487,0.8533267342263345,0.978016422944011,0.9708296404607941,,0.9604068771517722,0.06733024420576467
8e-05,0.8340745943707996,0.9017380224377323,0.9218649639061745,0.9480600891304797,,,0.9014344174612965,0.0422161060183301
0.00012,,,0.9668803378901702,1.0457778536194344,0.9151761723455032,1.0165002985537552,0.9860836656022157,0.049712191759946275
0.00016,1.185636097869652,1.0204532335495646,1.1059790191354868,1.0372980694625178,,1.0488935567941182,1.0796519953622679,0.06028295305885518
0.0002,0.9540581534684585,,0.9795213126360519,,0.9938881618717299,0.9988502313543912,0.9815794648326579,0.017402887466721518
0.00024,,1.024940130383518,,1.0985264522881255,1.0006087277332336,1.0631630742070026,1.04680959615297,0.03726547741793713
0.00028,1.0275107760265585,1.0994475769394627,1.0724276140004967,1.041483424044893,1.0353023415795708,,1.0552343465181964,0.026852885288351894
0.00032,0.9782972595324876,0.9733499667961838,,0.992865819070511,0.9968963889094044,0.9587735065865505,0.9800365881790274,0.01377459149595023
0.0003599999999999,1.0585886913261588,,1.00437112442289,1.0917417525160564,0.9664145335153109,,1.030279025445104,0.048293365657517594
0.0004,1.0794729297888692,1.0657434199282374,1.0097263263669793,,,0.9455075289257497,1.0251125512524588,0.05286684627399433
0.00044,1.0288071824444573,0.9928631685124258,1.0496848145298063,,,1.0807762323777577,1.038032849466112,0.031969431031961454
0.00048,0.9960113302638225,1.0156887500524783,0.9365672840160985,,0.8791304451122265,1.0340394914020725,0.9722874601693396,0.056945531476874166
0.00052,1.0485741593489732,,0.9886684306109306,,1.0904807742382674,1.0136726538243184,1.0353490045056226,0.038286279893979806
0.00056,,1.0262973825915218,0.9299210544231636,1.0815808098760464,1.053293118311669,,1.0227730913006003,0.057060803521763855
0.0006,,0.9734081943709985,1.0481514163516765,,1.0073320834489883,0.94551422371608,0.9936014794719358,0.03835484985127427
0.00064,0.995791422111857,,1.0765871877624211,0.79860632837289,,0.916366539312898,0.9468378693900166,0.1026309257134203
0.00068,1.0651435663590099,,0.9524143289419016,1.04614911647813,1.0440115625672217,1.0079174485159612,1.0231272045724449,0.039907861264831195
0.0007199999999999,0.9973108463187457,1.0982848324404475,1.1343113552597375,0.9724404968284398,,0.9850392419554018,1.0374773545605545,0.06582897532108538
0.00076,0.9811361982103993,,1.074053134441995,1.0338144133285614,1.0466360433908517,1.0144234651800592,1.0300126509103733,0.031184243152625777
0.0008,0.917188548723835,0.9019086276539419,0.895543551357794,0.8775200563005237,,0.9705625072938829,0.9125446582659954,0.03167498082250888
