freq,20241216_1,20241216_2,20241216_3,20241216_4,20241216_5,20241217_1,20241217_2,20241217_3,20241217_4,20241217_5,mean,se
902.0,0.9406590207578128,1.008819116013554,,0.8919629965721021,0.8835342455196058,0.9721570505550764,0.9572818467190994,0.9089476465486396,,,0.9376231318122701,0.04224060407650739
902.4,0.9193549187438602,0.9424237548862556,1.01285718265357,0.96453285517693,0.898753427155831,0.9257542641104984,,1.0261461529484883,,1.032068568286734,0.9652363904952709,0.048796929296251394
902.8,1.0377222118528495,0.9344272292550516,0.9502761449930232,0.9488067887845006,,0.9508435510488996,,1.025488918240164,1.000338094935315,,0.9782718484442576,0.03887218599106277
903.2,0.9786115438302192,1.0356130346784294,1.0835792403152558,,1.0937228169160935,0.9500827374201491,,0.9781634204105538,0.984524430530314,1.0384531158205093,1.0178437924901904,0.04954127995114434
903.6,1.0311740486033991,0.9269906049262544,0.8779475635208785,0.8981543551758714,1.0227251317502006,0.9657946261278356,1.0748187718054432,0.9715663969417296,,0.8849928545146435,0.961573817040695,0.06633398909971909
904.0,,0.9289498497015328,1.041134560108791,0.9322630616027584,,0.9197234704822718,1.022436369992909,1.0180849363799642,1.0721943572519188,0.9559533446893588,0.986342493776188,0.05507172457689994
904.4,1.0048113902985745,0.9249170011818028,0.9684291573542536,0.96842872002531,0.9306406068118556,0.891953834415441,0.9660400879406535,,0.887863064007611,,0.9428854827544377,0.03835719087241921
904.7999999999998,,0.9136662202794452,0.9893119653425504,0.9565653155958824,0.9601012936854544,,0.97220034690052,,1.000980469704408,0.91522291332514,0.9582926464047715,0.031237905617290496
905.1999999999998,1.013023586797462,,1.000704040995204,1.027489129245036,,1.03473983399291,0.997172883228266,0.9087565762429104,,0.969315398750564,0.993028778464622,0.039762387096755634
905.5999999999998,0.9530119928400644,0.9272400145343088,0.897048382480908,0.9717180522786129,,0.9620297414289544,1.0587752196923472,0.9528912381541044,0.890305145542485,1.0089941673243878,0.9580015504751304,0.049727393663306106
905.9999999999998,0.9264394661604464,0.9477186658615252,1.0135057543046433,0.9127226842321144,1.0094523627282197,1.019681458976447,,0.9499245891879132,,0.991911717767945,0.9714195874024066,0.03946387505856822
906.3999999999996,0.9450854978347794,0.958249511979089,1.0047963673936129,0.9732102367854945,,1.144290020333157,0.9433119147732244,0.9703639946822784,0.9821772251726458,0.9958274356814774,0.9908124671817511,0.0577217549002456
906.7999999999996,0.8950653531332938,0.908957483685108,0.8800170580140595,0.8983159527309457,,,0.9524418162836854,0.9517411947842344,0.9431794191146288,0.937782602559663,0.9209376100382023,0.0267370430079726
907.1999999999996,0.9173128976529712,0.9203894977485816,0.8830952429644169,0.918253569072618,,0.9352299965538068,0.9655101287364556,0.8903484281659082,0.9513332403763616,0.935796670726732,0.924141074666428,0.025014870975358264
907.5999999999996,0.8969609207326009,0.9451693946975672,,0.9229396070796936,0.9092589274202392,0.93338367214752,0.9255902613296032,0.9455429058528748,,,0.9255493841800142,0.016628519480230114
907.9999999999995,0.91169557172663,,0.919072740413723,0.9067785463748932,0.9493339444244714,,,0.9399359254992786,0.9430466948556868,0.921648275410779,0.9273588141007802,0.01538716318917226
908.3999999999996,,0.8787025822713825,0.8299972958541415,0.8726686217620313,0.8662413727280939,0.8378291029204149,0.8440998164685514,0.845759688406432,,0.8711824459203469,0.8558101157914242,0.017252371568144888
908.7999999999996,0.7929247132265062,0.7834339274749724,0.7879019201402572,0.8062828707097507,0.7675770441082397,0.8432369369128796,,,0.8267669633135768,0.7853204265718203,0.7991806003072504,0.023338814502505887
909.1999999999996,0.6356168766126169,,0.5979384545559628,,0.5666711867326653,0.5575832847130979,,0.5175837552435179,0.5591518788371921,0.4776477136665977,0.55888473576595,0.047480271242527135
