time,20250221_1,20250221_2,20250221_3,20250221_4,20250221_5,20250221_6,20250221_7,20250221_8,20250221_9,20250221_10,20250221_11,mean,se
0.0,,0.9364491795148159,1.0,1.0,,0.9268027371202542,1.0,1.0,0.9547344249656307,1.0,1.0,0.9797762601778557,0.029372174075086674
4e-05,,1.0,0.953617787132649,0.933578033077617,0.9784204981106807,0.9961396965184647,,0.9488247721818814,1.0,,,0.9729401124316132,0.025458665493056185
8e-05,1.0,0.8615872780652333,0.8634854834083201,,1.0,,0.9526274215787272,0.7899154263773379,0.9974446551817573,0.876932156303716,0.850907558903971,0.9103222199798958,0.07391874364711021
0.00012,,0.7895963125495303,0.8817967533002904,0.9850259694770099,0.7717709175853653,0.8685333399973932,0.9298548217464787,0.8136091757463825,0.8435400240762491,0.8131436498228689,0.7322825161010131,0.8429153480402581,0.07198028549755167
0.00016,0.9760722951722811,0.863027179070999,0.7914688166761867,0.9170259316123859,0.9629175555784434,1.0,,0.8682103128946056,0.8007203012411496,0.7385626709852954,,0.8797783403590386,0.08591359794372543
0.0002,,0.8227510302311329,0.7384488476252251,0.8807160124290102,0.8475247033535758,0.9393138966414958,0.994835292922708,0.7350917989689674,,0.7568465937861686,0.7090472575671309,0.8249528259472683,0.0938040982713144
0.00024,0.9321852399787277,0.8372910772255651,0.6937550357982121,0.9040667784175966,,0.7840153200390678,,0.8058653427368526,,0.7386292523540647,,0.8136868637928695,0.07903563221686474
0.00028,0.7615601125906296,,0.6300072424146699,,,0.7215097652786315,0.8338620962771789,0.6793462984348494,,0.6841726574410766,0.6157838379002223,0.7037488586196083,0.07044899769298099
0.00032,0.8182321039996429,0.7815464199067619,0.6927886640261707,0.6500097107206664,,0.5827357772897165,,0.7202232750820892,0.6557698891952491,0.6733419983996052,0.6151837013384402,0.6877590599953715,0.07137673986783544
0.0003599999999999,0.7752516583359503,0.7258503920155089,0.600823782707537,,0.74539949268298,0.6833600124398607,,0.6251246366712802,0.7194126276160898,0.7358031396892885,0.6198214100820767,0.6923163502489524,0.059317671176206004
0.0004,0.6768088844789546,0.7322083295298604,0.5946833197493159,0.7973867641259827,,0.6858172360380304,,0.6912912270916118,0.6854366737363398,0.5955363228613475,,0.6823960947014304,0.06232330350122094
0.00044,0.8230567218961929,0.7412779756442055,0.7297423505057412,0.6100356653330931,,0.6496413178593844,,0.601039739031127,0.6907272677345334,0.6194292099255722,0.6151388328026954,0.6755654534147272,0.07192571553289921
0.00048,0.7757811934201176,0.610490593153221,0.5798756011648695,0.740428718907141,,0.6188147160286688,,0.5888735904036627,0.6097185769827133,0.5953503010950438,0.5767574195154909,0.6328989678523254,0.06874049168296972
0.00052,,0.6951093410240595,,0.6225123523265539,0.7404436187110033,0.601133875489905,0.6834176751374347,,0.6243134083600002,0.5871186035749039,0.5669241914849064,0.6401216332635958,0.056135900562684166
0.00056,0.8028629185641624,,0.6994030620060452,0.7407539016911278,0.5056463786890166,0.6819960929125456,0.8121682181933263,0.5543128090030767,0.572545992128496,0.6188498285288898,0.5225555086777763,0.6511094710394463,0.10703248953769973
0.0006,0.6366241894967574,0.5432546453149595,0.5996600258623633,0.6745318245131591,0.5807368226797771,0.5850315356453967,,0.528431193062543,0.5972699717424163,,0.5700784998201154,0.5906243009041653,0.042091579601094845
0.00064,0.6236761620527941,0.6086010166355665,0.5826643299900293,0.700844500885805,0.5763761759160068,0.7600630603386208,,0.6148828772670267,0.5051708650832694,0.5722121524122972,0.5485564703898393,0.6093047610971255,0.07003558066154485
0.00068,,0.6447777949265621,0.6296223095266984,0.5962174575973548,0.5846931327231942,0.6345624543860214,,0.5956979019158996,0.6414969110313496,0.5368594941452713,,0.607990932031544,0.034536372857145295
0.0007199999999999,,0.491361060602031,0.5976477879608576,0.653225185123194,,0.5551267705401871,0.6446050078648292,0.6183725841366615,0.5380804021763405,0.5340505928632926,,0.5790586739084241,0.05437909234204974
0.00076,0.6572069355446928,0.5981336821242367,,0.6415298523049933,0.5582356673318911,0.6509082587026483,,0.4866483632751882,0.5595602613784628,0.5647348754383406,,0.5896197370125567,0.05500267229583515
0.0008,0.5728997955150094,0.6302639677296077,0.5030913759457585,,0.513282475758103,0.617888591863206,0.5741861178396813,0.45776058876217773,0.5098130061294248,0.4970307337564468,,0.5418018503666018,0.05581028346132297
