time,20240927_1,20240927_2,20240927_3,20240927_4,20240927_5,20240927_6,20241122_1,20241122_2,20241122_3,20241122_4,20241122_5,20241122_6,20241213_1,20241213_2,20241213_3,20241213_4,20241213_5,mean,se
0.0,0.8681193695702062,0.813727696246192,1.0,0.934405651299858,0.7446281172379389,0.9400727898659004,0.926324799850256,0.9720803394932748,0.9876204104671028,0.9973052218370544,0.7866556840917777,1.0,,0.9352447942579304,0.8850661259129033,0.9869714018475292,0.7617348502574527,0.908747328264711,0.08594790269401047
4e-05,0.8819251785755714,0.9285975077667455,0.9524110214426474,0.8957880718437417,,0.9013596617124768,0.9257809004860034,0.8694352626893891,0.8127685256182869,0.9122278592213624,0.8164996811788948,0.873598314087956,,0.902538321878835,0.8162682046827707,0.9284772346866236,0.8314439783290402,0.883274648280023,0.044174169304187876
8e-05,,,0.7095323362456124,0.743139825084297,0.6782321359540113,0.7196944935074037,0.754310845572951,0.6909822865185298,0.7407783076978467,0.6919150513786951,0.6552880023985427,0.6554286671638953,,0.7788524694277977,0.6397315991487376,0.7319934729650123,0.6170314468251515,0.7004936385634631,0.04575755748399451
0.00012,,0.6663401660490902,0.5900058273188888,0.6156958949997745,,0.6531996958101812,0.6857460500294098,0.6543980021018265,0.6648296413270894,0.6026810316900325,0.612172440454141,0.5459528137677823,,0.6712007450014351,0.5166571631371452,0.6265986928686975,0.525897228651089,0.6165268138004703,0.05315658960675447
0.00016,,0.5860779023729445,0.5586499028953231,,,0.4841020124773685,0.6122616040015676,,0.5166533601845977,0.6273023146894546,0.5119907246319334,0.5140796547875259,,0.5515083686794687,0.5627790869221302,0.5633496852891396,0.5129243928158171,0.5501399174789393,0.041968510487870675
0.0002,,,0.5015610271099945,0.6164548850439743,0.477635974153466,0.6405488761184791,0.6710664339539751,0.6073211838459235,0.5743361953715279,0.5911821785360173,0.5873710357162979,0.4955720779640713,0.5116841704401911,0.653955613422958,0.5300746839682738,0.4738582974586243,0.4740297048239063,0.5604434891951785,0.06702894400976585
0.00024,,0.5276775836624582,0.5707517520709116,0.5407546458039504,0.4798383020190659,0.6265811126573819,,,0.6612901022444954,0.6148295951553194,0.5604874511640471,0.5355023500853805,,0.5912753577536243,0.5548279735927855,0.5492139123328423,0.4772930573842119,0.560794091994344,0.05129813681473723
0.00028,0.7513936589382275,0.6482618284275575,0.7061859485842237,0.7799138835230731,0.7072620056222378,0.6869043197471246,,0.7348065477890661,0.7449402967088399,,0.7533336780957584,0.7105171841194383,,0.7062534941381438,0.6343643430194537,,0.6133053944637514,0.7059571217828382,0.047680715895269
0.00032,0.8312705406644435,,0.7602656932083266,0.7617925526504511,0.8072211274424957,0.8834936897822022,,0.884701579928277,0.9032886497166696,0.8601215161529441,0.850447832405917,0.9016725479986766,0.7717539935435094,0.8217304239671326,,0.7895041916634191,,0.8328664876249587,0.05016674825828605
0.0003599999999999,1.0,,0.8661679795446405,0.9613527891987684,1.0,0.8827540764775988,1.0,0.8869717174084433,1.0,0.9053404630562256,0.9221357279429236,0.9500242060564502,0.8497628505373166,0.9012601525274896,1.0,0.9485742779373963,,0.938289616045817,0.052466026949769685
0.0004,0.9873970037209948,,0.8767187395809249,0.9189111380004088,0.9854370502323724,1.0,0.9690709152684688,0.8656705837587333,0.9788206784411204,0.8893140875713669,1.0,0.9516652051435334,0.9184730770848044,1.0,0.882093157804692,1.0,,0.9482381091071612,0.04935655154905983
0.00044,0.8956266860828455,0.7895114059722982,0.8188191120321984,0.8626554112410655,0.8621045161818097,0.880515896802421,0.8856468318944289,0.8374589774108832,0.7704515733834489,,0.8500738165032452,0.8301717018484677,0.7809009203154494,,0.8088232759771676,,0.7709254512527988,0.8316918269213235,0.04151612830045679
0.00048,0.638967116561764,0.6271099855683846,0.6185218772486178,0.653726824947381,0.713397842455362,0.7141826752841639,0.6898949284940086,,,,,0.6778640319057864,0.6395404178681061,0.7036182223047701,0.6548977352769755,0.7122707921593617,0.6399935157894477,0.6679989204510868,0.0338909353327689
0.00052,,0.5344360893423017,0.5773023399739557,0.6122538642880683,0.669421206003335,0.6119705115915992,,0.6335823753342229,,0.6297090128216938,0.6052652191814333,0.5118365406711575,,0.6117826970289503,0.5698013891087389,,0.6306334394351393,0.599832890398383,0.04255030782803158
0.00056,0.662169063829892,0.5071192511134804,,0.5859209449860189,0.6384942028614591,0.572988348288822,0.6283689115773708,,0.5037652299962577,0.5205939768207556,0.5858868419900835,0.5017246422260017,0.5597100313688667,,0.561834028534519,0.5303203917861973,,0.5660689127215173,0.051214463429814186
0.0006,0.6752507618154012,0.6136067103290689,0.5754711197018841,0.647821129672066,0.5621742106800227,0.6470948645213407,0.539256852598153,,0.6731323838874012,,0.4864064692369156,0.5308603139912961,0.4735312386070255,0.4908431841648599,0.5434855947422247,0.555304146528225,0.486805376928288,0.5667362904936115,0.06753961167921677
