time,20241218,20250103,20250109,mean,se
0.0,0.1571632790544396,0.1851786500150118,0.271185593436635,0.20450917416869543,0.048514766943067014
2e-05,0.3254467084616511,0.3544278058358704,0.4144729191460561,0.3647824778145259,0.037074977824629755
4e-05,0.5058708681852201,0.5323152448572878,0.5954204886446571,0.5445355338957216,0.037565810956635
6e-05,,0.6568095671151372,0.6651115862758268,0.660960576695482,0.004151009580344811
8e-05,0.5672214403045108,0.610952215025693,0.6388784039088717,0.6056840197463585,0.02949006069141576
0.0001,0.5874015590513307,0.5924844397274261,,0.5899429993893784,0.002541440338047707
0.00012,0.6516831232781118,0.5788777849106853,0.6701847086029129,0.6335818722639034,0.03941218123663551
0.00014,0.5278159071638079,0.5244233716087999,,0.5261196393863039,0.0016962677775039792
0.00016,0.4215593333169359,0.5152589461521543,0.5390488403540358,0.4919557066077087,0.05071637997008163
0.0001799999999999,0.3712998831740496,0.4007278191535729,0.454596891484548,0.4088748646040568,0.03449037218847214
0.0002,0.3695061222864324,0.4169526882025783,0.4732302702753269,0.41989636025477917,0.04239633335457758
0.00022,0.4588189007536821,0.4104795090083405,0.5485671853773532,0.47262186504645864,0.05721271979026483
0.00024,0.5064125113804718,0.5252980603063959,0.5952184400081283,0.5423096705649987,0.03819833680976221
0.00026,0.6187107675546889,0.6143685464086125,,0.6165396569816507,0.002171110573038204
0.00028,0.6090010534949549,0.6706939226387874,0.6382217617630547,0.6393055792989323,0.02519766551538475
0.0003,,0.6573633721986175,0.6694928204179603,0.6634280963082889,0.006064724109671404
0.00032,0.5839933611965581,0.4687509117559714,0.6730162600467003,0.5752535109997433,0.08361966221800658
0.00034,0.577998340420555,0.5383603615755485,0.6012885792735938,0.5725490937565657,0.025977693797652576
0.0003599999999999,0.5288363004268541,0.4713465692054784,0.5913755284385338,0.5305194660236221,0.049016069123381883
0.00038,0.4801587207658586,0.5185858745319546,0.5514785950445616,0.5167410634474582,0.02914542402888903
0.0004,0.4719015057168955,0.4520139884450044,0.5244142585754263,0.4827765842457754,0.030541232004144776
