time,20240927_1,20240927_2,20240927_3,20240927_4,20240927_5,20240927_6,20241212_1,20241212_2,20241212_3,20241212_4,20241212_5,20241213_1,20241213_2,20241213_3,20241213_4,20241213_5,mean,se
0.0,0.6278575343844299,0.6435596675660896,0.673264299069033,0.6634014349189582,,0.5503137917031312,,0.6179352982061362,0.5195389185531257,0.5147758193336868,,0.6009241621006196,0.5486130550887877,0.5406630866972257,0.6207286297510222,0.5885856659005743,0.5930893356363707,0.05165706970380813
4e-05,,0.6085985252612218,0.5816433815262234,,0.5790875338678004,0.5970086576932593,,,0.5501560744987293,0.5845511306074761,0.5090819911253271,0.597506387237494,0.6014439375761502,,,0.588419711583171,0.5797497330976853,0.028085621416669773
8e-05,,0.6539367321407749,0.6021481042652482,,0.6866129205132124,0.6077882681014265,0.5935305624829471,0.6727634641846016,,0.5704547507454666,0.67085314463571,0.6173105696630364,0.589949979106731,,0.5532577887684742,0.5930700100000896,0.6176396912173099,0.041438025095055085
0.00012,0.6664654600014666,,0.6189803326053368,0.71410651397846,0.6891944666549827,,0.6546748433233998,0.6157116818109168,0.6158538782858163,0.6852215073832689,0.7067416052915014,0.6811280254320717,0.6764004205254546,0.6129493597247717,0.6271704892977529,,0.6588152757165537,0.03535806072007471
0.00016,0.9083764995074636,0.8133347449453949,,0.9154719458378252,0.90656734231287,,0.8206562699794839,0.9144681507589074,,0.7908068854641017,0.8979954814897886,0.8788228975734971,0.907391277178928,0.9445587470933188,0.8858026368695565,,0.8820210732509279,0.04574084474015928
0.0002,0.9744527063979348,,1.0,1.0,1.0,1.0,1.0,1.0,0.9965832697255618,,1.0,1.0,1.0,0.98185999223735,0.9727955535432784,1.0,0.9946922515645804,0.00977996982339861
0.00024,0.8486945219319812,0.8646179427036585,0.9170237136206432,,0.8996531502940703,0.7934906975375737,,,0.9295148024215596,0.7452846575362172,0.8342926487276975,0.9029528316649282,0.804752554056695,,0.7432775723857806,0.8894902478615229,0.8477537783951941,0.06167176203060716
0.00028,0.5951161752256021,0.6772332470732804,0.638911646108676,0.6997757876371953,0.653605904803128,0.5451905750913058,0.6085271490337527,,,0.5304617621507784,0.6461316043136888,0.5715379892524767,0.6028762905627879,,0.6809794171576785,0.6408854050362014,0.6224025348805041,0.05030331465741897
0.00032,0.6191208278625014,0.6204292599773487,,,0.5747134608124382,,0.6140036405961252,0.6209633459938775,0.6141292000843074,0.5476333811659113,0.6325111645875862,0.5732927640163771,0.5634692337092968,,0.6149868044685923,0.5933940040319934,0.5990539239421963,0.026397731291928853
0.0003599999999999,0.6642730574880109,0.6195973282434772,0.5931106874866117,0.6575271440643511,0.5924049157616013,0.6138008450932352,0.6847495308945319,0.6308467148875565,0.6447189862688351,0.6335506403998014,0.6690867339739869,0.5630071739187444,0.5627980335243608,,0.5986213987104887,0.5418526287611785,0.617996387965118,0.04117434532442898
0.0004,0.6637989137886459,0.6471474377679208,0.6210634527094362,0.6824376336669593,0.6825494917921574,0.5836298607963609,,0.6494445955254965,0.7013459160875087,0.6420583175959484,,,0.5678167001902353,0.6064762239453251,0.6009740209009293,,0.637395213730577,0.0402054209651444
0.00044,0.5855674637285952,0.6450140912436391,0.5840584662396822,0.6081122736772651,0.6112042301803137,0.6197688286240911,0.5747893501456044,0.6191682956520307,0.6434490798708029,0.6307392499372988,0.6176375872227521,0.5353987479226101,,,0.6085867578001475,,0.6064226478649872,0.02899397443771336
0.00048,0.6123247852650868,,0.5440024951145813,0.6130787958025633,0.5665865168830279,0.5121701163735358,0.5374095148788081,0.5022520618546089,,0.5819631467233478,0.6032844250724483,0.5442013105013497,0.5026123207084245,0.596532572127119,0.5255401319561775,,0.5570737071739292,0.03951343655375004
0.00052,,0.7847646723033215,0.7378670569663552,0.8031731582066693,0.7033178583282033,,0.6939613376598778,0.6998508405633054,0.7010034565437882,0.7426548341637451,0.8011316572766874,0.7657336577612538,0.758737248426247,0.8295612783571246,,0.7702774501217547,0.7532334235906409,0.04298109687978609
0.00056,1.0,1.0,0.9135597362327844,0.977146450217909,0.8824804875284749,,,0.8924626838708002,1.0,1.0,0.9552794585153592,0.8990475439142839,0.987082876226446,1.0,1.0,0.9613401626611552,0.9620285285119438,0.04394510974102819
0.0006,0.8020997182221163,0.8611536931805125,0.8232789343560627,0.8383515747490838,0.7811279541722193,0.7427019113472436,,0.7533048873608481,0.7572115089612332,0.8477245937020534,,0.858305125271317,0.810721971705626,0.7902072874127333,,0.8040165641526438,0.8054004403533608,0.03816202501976817
0.00064,0.6119822738755182,,0.5934575711224463,0.6137633850960786,0.5609176693037569,0.6681981709611172,0.5815590736366298,0.540674524487866,0.58854760103163,,0.7011752141962818,0.718931308467665,,,0.6819125652916028,0.6514483270906806,0.6260473070467727,0.05487948747115555
0.00068,0.566174200347368,0.6448088898688845,0.5606624302454649,,0.5183063637219893,0.4972866856041349,0.6122004101820337,0.5541253807841583,0.5785645598299496,0.6089398097074518,,0.5853866803959653,,,,0.6071711369763111,0.5757842316057918,0.041043886010266845
0.0007199999999999,0.6412712922686247,0.6597231782632448,0.6152611156900967,0.6704498271518141,0.6355359420918618,0.5827141935982376,0.5934245632900247,0.6025744571064879,,0.6102648713842752,0.6839279634954226,0.5880084684784084,0.5870770414780795,0.6137885520213884,0.6186709574006776,,0.6216208874084745,0.031089782653918676
0.00076,0.6515931147234202,0.6459006811000415,0.6101764673421419,0.6498699688139298,0.578278379808661,0.6000016590476579,0.6067564891220275,,,0.6485090413442133,0.6712641312733493,,0.5575175408647395,0.5940235471175574,0.5621438033467184,,0.6146695686587048,0.0365144865454137
0.0008,0.6162637085724184,,0.5854445346118753,0.662617029942299,0.5440823245201771,0.6216008734266679,0.5549293344434079,0.7059571460759066,,0.6663101004207576,0.6359111883688028,,0.5152620256817964,0.599891568377774,0.6204649897247929,,0.6107279020138895,0.052562556565134394
