time,20250114,20250116,20250118,mean,se
0.0,0.931535500793282,0.9461208312431144,0.9382266064101704,0.9386276461488556,0.005961185046431957
4e-05,0.3936783072851369,0.5042348965674186,0.4135702214348539,0.43716114176246973,0.048118523805707934
8e-05,-0.5492269708464372,-0.4248035891405637,-0.534671734717733,-0.502900764901578,0.05554181830582341
0.00012,-0.4552792699294289,-0.4413639551633432,-0.4155064063067738,-0.43738321046651524,0.016479379366197273
0.00016,0.538252948673065,0.4302608925103987,0.5178846865627488,0.49546617591540415,0.04685092146581499
0.0002,0.8518036218816658,0.8648515072042655,0.8685782919317112,0.8617444736725476,0.00719201556576864
0.00024,0.1059208426032095,0.3148413350628044,0.2201246220352219,0.21362893323374524,0.08541502023315
0.00028,-0.4984545331330113,-0.3285436001206956,-0.4796381631122934,-0.4355454321220001,0.07605067601678803
0.00032,-0.1531704082319009,-0.2531875794781696,-0.1959157237292153,-0.20075790381309525,0.04097514422996705
0.0003599999999999,0.4663968555264628,0.3291378326964423,0.4818232409353075,0.4257859763860708,0.0686301250699908
0.0004,0.5784320004325,0.6273716963232026,0.6161115327272838,0.6073050764943287,0.020927473362477803
0.00044,0.1772322424707964,0.3698660370477021,0.1932914550085971,0.24679657817569853,0.08726986252278769
0.00048,-0.1395432973341536,-0.0983906638332511,-0.1973540379064364,-0.14509599969128037,0.04059196742860532
0.00052,-0.0486245326647419,-0.1506593315675121,6.956970050510197e-05,-0.0664047648439163,0.06280606611692287
0.00056,0.2531989645716862,0.1601435238800642,0.3781317629811804,0.2638247504776436,0.0893099419295552
0.0006,0.4089023100650662,0.4435739844678232,0.4734893846928409,0.44198855974191015,0.026391384085399115
0.00064,0.1962494207392734,0.3416922365016098,0.1827057861186267,0.24021581445316995,0.07196738003428686
0.00068,-0.0737145356832746,0.0066539665189852,-0.1222740373002275,-0.06311153548817229,0.053165936789481644
0.0007199999999999,0.0169009378965433,-0.0822166091956455,-0.0156043675173038,-0.026973346272135334,0.04125540202073682
0.00076,0.2353332689153715,0.1240616051977574,0.2896929371203529,0.21636260374449393,0.06893643995924753
0.0008,0.3384605033908494,0.3922848928803983,0.4062106423277466,0.3789853461996648,0.029213909791136344
