pos,20241220,20250102,20250103,mean,se
-1.1364506544998805,0.1860241818822679,0.0817784197608607,0.1446260247090532,0.1374762087840606,0.04285739633473794
-1.103025635249884,0.1878923943754833,0.1017112808438827,0.1361308506561513,0.14191150862517243,0.03541993870974147
-1.0696006159998874,0.1895282163883166,0.0917843797919809,0.1561936562610833,0.14583541748046025,0.0405703851852563
-1.036175596749891,0.1799546889285899,0.0799672237806649,0.1500319689035684,0.13665129387094108,0.04190191041725474
-1.0027505774998944,0.1672187138197249,0.1054832897093929,0.1435714554385347,0.13875781965588416,0.025432183870136547
-0.969325558249898,0.1861850967432678,0.0704938502516936,0.1439628651499654,0.1335472707149756,0.047801531246527994
-0.9359005389999016,0.1932045569777898,0.090015936704975,0.1684368039115823,0.15055243253144904,0.043983791660100496
-0.902475519749905,0.1899010526178599,0.0945530561561985,0.1666832577148673,0.15037912216297525,0.04059703383568888
-0.8690505004999085,0.1792907372852007,,0.1777247620170591,0.17850774965112992,0.0007829876340707947
-0.8356254812499121,0.1895496499450202,0.0987787987777494,0.1711669942015226,0.15316514764143072,0.03918236605998099
-0.8022004619999156,0.1786636524485828,,0.1709071857335032,0.174785419091043,0.003878233357539798
-0.7687754427499192,0.1817211271165069,0.0969150155079143,0.1549593713482997,0.14453183799090696,0.03539839196424907
-0.7353504234999226,0.1815741741662133,0.0769138162483904,0.1600468673230828,0.1395116192458955,0.04512737484103869
-0.7019254042499261,0.1695132303188174,0.0891420366053535,0.1542243419894076,0.13762653630452618,0.034847262540947624
-0.6685003849999297,0.2036196947391134,0.1019917034284646,0.1686953907440579,0.1581022629705453,0.042160193875888825
-0.6350753657499332,0.2040727972720579,0.0953398775960993,0.1596608161463654,0.15302449700484086,0.04463737226529462
-0.6016503464999367,0.19874086453386,0.0890859894703883,0.1663970449669856,0.15140796632374462,0.04600400174786497
-0.5682253272499402,0.1916662340540417,0.101228028506869,0.154754470649669,0.14921624440352657,0.037128346925345876
-0.5348003079999437,0.1873562819384235,,0.1874173061398845,0.18738679403915398,3.05121007305037e-05
-0.5013752887499472,0.1977166304684732,0.0911858918926115,0.1791818519558403,0.15602812477230835,0.04647057045232475
-0.4679502694999508,0.1838115295556883,,0.1801446769117241,0.1819781032337062,0.0018334263219821068
-0.4345252502499542,0.1738498843503443,,0.1744099886449466,0.17412993649764547,0.00028005214730116024
-0.4011002309999578,0.1895981924362374,,0.1820659920581872,0.1858320922472123,0.0037661001890251095
-0.3676752117499613,0.1863819416859684,,0.1838381152452972,0.1851100284656328,0.0012719132203355965
-0.3342501924999648,0.1936110954270882,0.0929947799203324,0.1747202289515355,0.15377536809965203,0.043664830497913906
-0.3008251732499683,0.1967120177332226,0.1090242055485751,0.1654175234563656,0.15705124891272113,0.03628391759202443
-0.2674001539999718,0.2179376666399048,0.0962223999527632,0.1825628605313148,0.1655743090413276,0.05112148731193476
-0.2339751347499754,0.2087804384445462,0.088138989674433,0.1774560021183213,0.1581251434124335,0.051113281796862475
-0.2005501154999789,0.1778480383070738,,0.1848221447554084,0.1813350915312411,0.0034870532241672997
-0.1671250962499824,0.1968100949289359,0.0978103563582925,0.1809254985614952,0.1585153166162412,0.04341197415751002
-0.1337000769999859,0.1976173915239374,0.1187234476130773,0.158087281603278,0.1581427069134309,0.03220834157405231
-0.1002750577499894,0.2042079210443666,0.0984664535414612,0.1806159387081169,0.16109677109798157,0.0453215395116672
-0.0668500384999929,0.2111828304806944,0.1073041695609212,0.1797515835817568,0.16607952787445746,0.043496267112392725
-0.0334250192499964,0.2022163043544667,0.115522896605914,0.1709729714526683,0.16290405747101633,0.03584938183006487
0.0,0.1809895823081053,,0.1891364929035926,0.18506303760584897,0.004073455297743653
0.0334250192499964,0.194881054365542,0.1290764518264201,0.1724080221625667,0.16545517611817628,0.02731077906762211
0.0668500384999929,0.1912699681496322,,0.1870522767605185,0.18916112245507535,0.0021088456945568546
0.1002750577499894,0.200728009986485,0.1146445268267854,0.1757032931550439,0.16369194332277143,0.036155183232112975
0.1337000769999859,0.1941923165316372,0.1129563166911836,0.174434870097849,0.16052783444022325,0.03459167672631091
0.1671250962499824,0.2069513976143501,,0.2001679984922635,0.20355969805330681,0.003391699561043307
0.2005501154999789,0.195981842217748,0.0848168871910292,0.1729720880007999,0.15125693913652571,0.04791014210075145
0.2339751347499754,0.1838132487496477,,0.1791390091658083,0.181476128957728,0.002337119791919695
0.2674001539999718,0.1862157749213067,,0.1794958357207262,0.18285580532101645,0.0033599696002902524
0.3008251732499683,0.2035669235000498,0.092356977815695,0.1828437846284244,0.15958922864805639,0.048287291531432554
0.3342501924999648,0.1895409690859941,0.0790250956339831,0.169415604622602,0.14599388978085973,0.04806157242406969
0.3676752117499613,0.1919039079105384,,0.1812898669260015,0.18659688741826996,0.005307020492268458
0.4011002309999578,0.2096617139858299,0.0920094196955104,0.1838788108545477,0.16184998151196264,0.05049401007114631
0.4345252502499542,0.2133655415318621,0.0834938181704338,0.1913533813579942,0.16273758035343003,0.05674982632905262
0.4679502694999508,0.2228584024017798,0.0717849648804892,0.1711566658389725,0.1552666777070805,0.06269058766805202
0.5013752887499472,0.1841500542792106,,0.1748207151549894,0.17948538471710002,0.004664669562110604
0.5348003079999437,0.2011992950964919,0.0674021914013258,0.1479142744774511,0.13883858699175625,0.054998135221764596
0.5682253272499402,0.1872904694510251,0.0882493238220809,0.1602837333100478,0.14527450886105125,0.041803068035681304
0.6016503464999367,0.1967480125177906,0.0862648812327353,0.1626701817974045,0.14856102518264347,0.04619474573240685
